video_id,participant_id,length,prob
P01_01,P01,99136,0.011566443639430213
P01_02,P01,30135,0.003515925386078009
P01_03,P01,7138,0.0008328082099162046
P01_04,P01,6321,0.0007374867882992896
P01_05,P01,76326,0.008905144218277422
P01_06,P01,29541,0.0034466219289905576
P01_07,P01,9691,0.0011306730684082292
P01_08,P01,5945,0.0006936179333079065
P01_09,P01,214271,0.024999530393241116
P01_10,P01,8349,0.0009740985912847286
P01_16,P01,10484,0.0012231943503448431
P01_17,P01,69194,0.008073036043281292
P01_18,P01,221567,0.025850772856052636
P01_19,P01,28686,0.0033468669528798328
P02_01,P02,13986,0.0016317813986954383
P02_02,P02,12427,0.001449888991962549
P02_03,P02,75138,0.008766537304102519
P02_04,P02,25350,0.0029576475373179864
P02_05,P02,1120,0.00013067318508071577
P02_06,P02,62140,0.007250028322246142
P02_07,P02,6522,0.000760937958121811
P02_08,P02,4025,0.00046960675888382234
P02_09,P02,131998,0.01540053489668243
P02_10,P02,2932,0.0003420837309434452
P02_11,P02,3252,0.0003794189266807926
P03_02,P03,25604,0.002987282348934506
P03_03,P03,4266,0.000497724828173512
P03_04,P03,100252,0.011696650134564213
P03_05,P03,13466,0.0015711117056222488
P03_06,P03,6555,0.0007647881501822249
P03_07,P03,6439,0.0007512541417274365
P03_08,P03,1773,0.00020686031888224026
P03_09,P03,37570,0.004383385324537939
P03_10,P03,6173,0.0007202192602707666
P03_11,P03,3165,0.00036926842033970127
P03_12,P03,1301,0.0001517909051696529
P03_13,P03,3365,0.0003926029176755434
P03_14,P03,15612,0.0018214908620358345
P03_15,P03,636,7.420370152797789e-05
P03_16,P03,16308,0.001902694912764565
P03_17,P03,8938,0.0010428186859387837
P03_18,P03,1460,0.00017034183055164736
P03_19,P03,33028,0.0038534588900409647
P03_20,P03,21644,0.0025252593016848322
P03_27,P03,5836,0.0006809006322598725
P03_28,P03,5139,0.0005995799090444628
P04_01,P04,69293,0.008084586619462535
P04_02,P04,86264,0.010064635390895416
P04_03,P04,48116,0.005613813369056893
P04_04,P04,51495,0.006008049701545945
P04_05,P04,124129,0.014482439099003722
P04_06,P04,47302,0.005518841964900016
P04_07,P04,7384,0.0008615096416392904
P04_08,P04,4968,0.0005796289138223178
P04_09,P04,24690,0.0028806436961097076
P04_10,P04,68513,0.00799358207985275
P04_11,P04,14488,0.0016903509870084018
P04_12,P04,9645,0.0011253061340209855
P04_13,P04,18863,0.002200793116229948
P04_14,P04,5269,0.0006147473323127602
P04_15,P04,1498,0.00017477538504545736
P04_16,P04,13029,0.0015201258289434339
P04_17,P04,8874,0.0010353516467913142
P04_18,P04,7494,0.0008743436151740036
P04_19,P04,938,0.00010943879250509946
P04_20,P04,5536,0.0006458988862561094
P04_21,P04,11836,0.0013809355523351355
P04_22,P04,10289,0.001200443215442397
P04_23,P04,59926,0.006991715436738369
P05_01,P05,21953,0.0025613111000687082
P05_02,P05,20314,0.0023700848944014823
P05_03,P05,61997,0.007233344156651014
P05_04,P05,23312,0.0027198690094657556
P05_05,P05,9347,0.0010905377329905807
P05_06,P05,18664,0.002177575291380785
P05_08,P05,76843,0.008965463893890574
P06_01,P06,5433,0.0006338816201281507
P06_02,P06,844,9.847157875725367e-05
P06_03,P06,41171,0.004803522949069776
P06_05,P06,86664,0.0101113043855671
P06_07,P06,63723,0.007434720868659332
P06_08,P06,1847,0.00021549408289650183
P06_09,P06,80694,0.009414769640092214
P07_01,P07,6555,0.0007647881501822249
P07_02,P07,6721,0.0007841557829709739
P07_03,P07,15771,0.001840041787417829
P07_04,P07,49519,0.0057775048678678255
P07_05,P07,12581,0.0014678565549111474
P07_06,P07,8461,0.0009871659097928003
P07_07,P07,19892,0.0023208491050228557
P07_08,P07,10389,0.001212110464110318
P07_09,P07,20396,0.0023796520383091778
P07_10,P07,123630,0.014424219528150796
P07_11,P07,13402,0.0015636446664747793
P08_01,P08,36934,0.004309181623009961
P08_02,P08,6452,0.0007527708840542663
P08_03,P08,9005,0.0010506357425462906
P08_04,P08,12320,0.0014374050358878735
P08_05,P08,105233,0.01227779579071336
P08_06,P08,29205,0.003407419973466343
P08_07,P08,1447,0.0001688250882248176
P08_08,P08,8667,0.0010112004420487176
P08_11,P08,11734,0.0013690349586938562
P08_12,P08,2031,0.00023696182044547655
P08_13,P08,1457,0.00016999181309160973
P08_18,P08,29986,0.0034985411855628064
P08_19,P08,8262,0.0009639480849436373
P08_20,P08,12455,0.001453155821589567
P08_21,P08,84413,0.009848674618052198
P08_22,P08,7763,0.0009057285140907113
P08_23,P08,91855,0.010716951263918882
P08_24,P08,34435,0.004017617078798614
P08_25,P08,1304,0.00015214092262969052
P08_26,P08,24562,0.0028657096178147687
P08_27,P08,11175,0.0013038150386401775
P08_28,P08,2054,0.00023964528763909839
P10_01,P10,54767,0.006389802077960322
P10_02,P10,73369,0.008560143675166996
P10_04,P10,201605,0.023521756676962234
P12_01,P12,24716,0.0028836771807633672
P12_02,P12,111249,0.01297969747057549
P12_04,P12,114749,0.013388051173952727
P12_05,P12,3641,0.00042480452399900546
P12_06,P12,10222,0.00119262615883489
P12_07,P12,47082,0.005493174017830589
P13_04,P13,14893,0.0017376033441134822
P13_05,P13,23876,0.0027856722919528303
P13_06,P13,6691,0.0007806556083705976
P13_07,P13,9737,0.0011360400027954727
P13_08,P13,147914,0.017257494194668745
P13_09,P13,32464,0.00378765560755389
P13_10,P13,10605,0.0012373117212330276
P14_01,P14,6265,0.0007309531290452539
P14_02,P14,1944,0.00022681131410438524
P14_03,P14,1207,0.0001408236914218071
P14_04,P14,8454,0.0009863492023860457
P14_05,P14,4276,0.0004988915530403042
P14_07,P14,5423,0.0006327148952613586
P14_09,P14,15202,0.0017736551424973582
P15_01,P15,2820,0.0003290164124353737
P15_02,P15,41719,0.0048674594717699835
P15_03,P15,19823,0.00231279870344199
P15_07,P15,12435,0.0014508223718559827
P15_08,P15,33161,0.0038689763307693
P15_09,P15,23184,0.0027049349311708167
P15_10,P15,11857,0.0013833856745553992
P15_11,P15,1658,0.00019344298291413102
P15_12,P15,3690,0.0004305214758462868
P15_13,P15,57788,0.006742269660218217
P16_01,P16,74593,0.00870295079886235
P16_02,P16,3349,0.000390736157888676
P16_03,P16,12799,0.0014932911570072153
P17_01,P17,9383,0.0010947379425110323
P17_03,P17,58649,0.006842724671249018
P17_04,P17,63853,0.007449888291927629
P19_01,P19,46847,0.005465755983460975
P19_02,P19,4417,0.0005153423736620729
